,G1,G2,G3,G4,G5,D1,D2,D3,S1,S2,S3,A1,A2,A3
81,323455.0478,12484736.974000005,7546929.47,10874144.045999998,544947.2516,2582181.0,5621552.0,13248761.0,5.878774387306685,100.0,94.9162465344754,151800.59526189964,19047185.540614676,12575226.653523428
82,891352.25,1453378.0538,25642570.56,343856.3726,16814.61266,2585683.0,6692981.0,7475392.0,100.0,100.0,2.345430786952451,11941794.078711264,16230847.624935355,175330.14541338058
83,519754.8016,2001242.142,1757864.9309999999,4690977.246,11292800.904000005,1256622.0,3462152.0,2439738.0,100.0,0.3625593184944033,100.0,3618748.8219035594,12552.354696440354,4690977.246
84,8610786.787999997,5199706.286,2321879.644,125457.3504,339986.1642,149656.0,304180.0,4942318.0,100.0,100.0,100.0,453135.5198846073,2101241.295291932,9910772.756423458
85,11130141.544000002,125223534.8,5055479.5,1090692.8114,779644.4476,316614.0,422906.0,8038505.0,100.0,100.0,100.0,2826981.395648166,3362732.4444601787,10841372.864327593
86,5749807.376,8694613.066,19536328.004,43074252.38,887223.3088,1849287.0,3639972.0,5070389.0,100.0,100.0,64.28765623308192,3657128.90625,8623058.25,3259634.25
87,9501858.13,2002854.054,11829213.877999995,7233563.068,10501934.356,1311708.0,3705537.0,1268688.0,35.62414901029803,100.0,100.0,467284.8125,4264702.1875,3133537.1875
88,214527.7794,1384197.7436,99467.78584,675805.578,1675242.447,30540.0,228422.0,2612744.0,100.0,100.0,70.03843258946007,1067027.2699799358,476483.54068490095,1829924.945175163
89,212425.5284,554069.6088,13201415.152,27670.3697,8009755.6,3043545.0,6388523.0,686963.0,100.0,20.835910692605754,100.0,9052304.182899214,1331106.9468565779,2292455.9771442083
90,126886.85618,12924502.996,637029.954,726078.6994,273743.1048,885901.0,1442902.0,7572328.0,100.0,100.0,100.0,2032969.0124914867,1765580.7614132017,10163613.13707531
91,86563.53113999999,2929085.622,6368029.83,404815.669,10850254.318,3050415.0,5977542.0,9151688.0,52.1909063741533,59.191785233753684,3.046954458777956,1592039.2366731283,3538213.8228974245,278847.76556944713
92,958576.2008,632233.8896,2180375.804,141651225.02,184354.44726,1916360.0,2845808.0,7135417.0,55.29848177270752,100.0,22.125611496266774,1059717.9852994578,6871077.399801969,1578754.6440585738
93,181022.03452,1593311.5342,9848318.52,11419946.264,1106683.432,2499674.0,3607849.0,5484870.0,0.0,100.0,25.73974882788928,0.0,11317543.75918375,1411791.7615362506
94,3919260.932,187036357.14,6451364.068,359836.2152,575843.4326,1444021.0,6394169.0,3740136.0,100.0,100.0,100.0,3468947.852678283,7396439.829921717,5057849.921875
95,89292.27178,6345048.118,3215921.794,77399806.5,5981479.847999998,753527.0,1107382.0,4057199.0,0.0491736914350713,100.0,14.36638268761626,370.5370418599497,4388973.5,582872.73473814
96,108392.35152000004,1482738.3478,693302.8352,411965.2254,7758137.884,541346.0,1701394.0,256398.0,100.0,42.50200852822034,100.0,1196931.3330750563,723126.6229786292,776340.8038663145
97,41196920.58,8879549.668,2002854.054,379379.661,15809.665486000002,61741.0,276436.0,282010.0,100.0,100.0,100.0,2923016.0314391195,327674.7821756866,3315103.691871194
98,230623.9346,1885274.6218,1623679.8592,3386433.044,43006.95406,1987064.0,3965872.0,8448909.0,30.103319645818054,47.54164594802078,55.45574418166099,598172.227486978,1885440.8249916905,4685405.361181332
99,2072987.92,195210.57386,2026486.626,8715224.548,58184.85816,534394.0,938110.0,7974995.0,100.0,8.46950667789571,100.0,2026486.626,79453.28909600744,10962154.610923994
100,114549.39822,1052231.38,7554740.677999998,7139091.864,88479806.18,139115.0,205883.0,3128977.0,100.0,100.0,44.468649666653654,1182905.9841898305,2996600.5,1391413.8202801696
101,8983513.697999999,167624587.4,4825899.286,5500130.51,7431179.462,1723998.0,4910808.0,535711.0,100.0,42.656788544268075,100.0,4255188.4375,2094792.984375,3247002.265625
102,247745.8266,943268.5806,19982801.88,432523.6114,2587640.382,143856.0,500899.0,451159.0,100.0,100.0,100.0,703065.5417904411,1478367.7276871642,2237762.0127223944
103,1229525.1912,1419788.2262,3269721.942,34153.7563,100824.54406,206489.0,1177281.0,171475.0,65.29112306599002,0.013532304714667253,0.0,134818.98710773213,159.31325226788178,0.0
104,388276.0382,3878538.618,2477543.114,172709.82228,147657.13072000002,1033890.0,3964646.0,197684.0,100.0,57.67465804363839,100.0,4495961.734968593,2286596.0231407876,282166.96509061824
105,442700.6838,4213384.496,3233641.146,13207084.076,25642.57056,843757.0,965171.0,5882613.0,73.25307176923367,44.07496026667123,100.0,618077.9207679329,425398.7347554334,19904955.320536636
106,435198.7678,5533714.164,5402694.488,56268157.5,8830037.18,2530988.0,7151378.0,844916.0,100.0,97.51606874386565,15.870362109746235,2711085.902963133,6973742.686613684,134091.2287231835
107,13313962.136,179661.62174,4780833.714,44723.33122,8383465.122,3901891.0,9654620.0,16555621.0,57.662752799377955,100.0,38.133205525234146,2249937.7618311765,13313962.136,6313188.981908824
108,4290083.2360000005,4160662.886,3578513.328,4126630.788,5251654.074,999929.0,1637413.0,7062805.0,0.0,2.8072174791753857,100.0,0.0,45965.743942290064,18822790.20705771
109,904385.1676,19963379.83,10648602.76,384829.8214,66273541.38,383875.0,666144.0,6964166.0,100.0,53.95969697190438,57.77214436215459,3338922.58058839,359449.2837965227,4023348.035140087
110,16902679.704,4777954.502,2611814.22,7826739.454,14761153.025999995,124266.0,786113.0,1346999.0,100.0,100.0,100.0,4062856.983567048,4553443.598082512,5421937.07194419
111,213.8738794,1948849.6096,12808608.852,104878.4355,478147.339,3548860.0,7946433.0,538673.0,3.7830707171763036,100.0,41.36963536999424,134255.88345358297,14936063.060989207,222847.0559366091
112,20600301.12,29375222.76,1124803.952,42560089.18,7392604.063999998,2523393.0,4995630.0,7160285.0,100.0,100.0,100.0,6297994.625,26202813.01888936,9736498.68311064
113,1544537.3338,2266106.112,6552463.0720000025,18112.047362,1455462.2476,1298639.0,2737014.0,7135970.0,28.56516390078207,100.0,28.638420849556574,370958.3588294773,9422093.333634421,2043629.1202981023
114,11254026.787999997,16350084.035999995,582187.8518,8462440.29,2637300.1780000003,344805.0,697881.0,3829183.0,100.0,100.0,100.0,1575560.048828125,1175863.59375,13534597.0
115,7136.834722,2773624.794,3136985.51,303235.3984,4369334.214,2072296.0,4158564.0,5489919.0,28.82353519888943,100.0,92.33829948076644,597308.9669851777,4923709.9366653245,5069297.847471498
116,3478793.684,1670094.8978,451123.4386,1854471.7728,9441894.39,118931.0,196925.0,3717292.0,100.0,100.0,6.495739742115231,3802571.992110994,2758302.1417145357,241465.61377447014
117,3196065.034,16237906.955999998,36779859.98,81731.77563999999,58857.8625,1828905.0,10473485.0,7077281.0,100.0,40.70981738084549,0.06530091979892437,3346115.15064,4263736.616910245,4621.529589754513
118,26265.22404,73181.05928,3828157.824,621826.5502,1173563.0586,236633.0,454746.0,5986990.0,100.0,5.77580100539642,72.62254882277217,1348823.7563155128,26265.22404,4347904.735764488
119,205635.1058,1037394.7614,5738090.792,112.69264890000001,272120.6326,3459339.0,20134853.0,56285719.0,7.866260941757949,4.792074267979081,0.49438020031419655,272120.6326,964877.1095084142,278265.4503404858
120,725914.7622,1832198.8238,11151400.942,522646.4596,139587.7364,2125200.0,4354371.0,11253152.0,90.30436465082794,100.0,57.587249872704405,1919148.357559395,5972219.605645372,6480380.760795233
121,6647435.186000003,34200778.44,1443505.3014,120786.4658,30351.930480000006,4206910.0,6916264.0,18217164.0,100.0,100.0,70.53516945103644,11536727.175661456,11409187.465445332,12849507.496573208
122,56357607.68,19483378.74,2567039.058,1269548.7718,3197386.268,663847.0,1982386.0,185666.0,100.0,100.0,100.0,1979238.5396332724,3527329.266094967,4655181.859071761
123,43489555.68,89930332.58,6549620.868,325179.4566,2788474.8660000004,300495.0,549770.0,6004070.0,64.1518885537509,100.0,100.0,192773.21750959373,4876188.542747164,14644335.614311991
124,864.1893630000002,2276275.346,4640543.158,590.2907904,4840983.836,3794319.0,5677925.0,6244034.0,41.97927980351483,85.28036062247348,85.26978095621992,1592827.7896479259,4842154.915873577,5324274.114631897
125,1741950.5248,2123546.4,2331501.172,389573.6548,93074.5372,90326.0,227612.0,4269598.0,100.0,100.0,61.814391741908906,1270372.7676477532,1297297.9940775386,2639226.033524708
126,1932115.5066,2619905.494,1934950.3674,4296516.484,20673593.62,3208704.0,4552411.0,3278787.0,100.0,51.8130563741522,100.0,21880429.11509774,2358743.277813106,5282958.711689157
127,652631.8576,276145.852,1200638.9766,6504964.516,4958071.07,1794476.0,5409696.0,14853191.0,3.2200406599698312,5.976720534794569,11.770611565317102,57782.856833400234,323322.41170196043,1748311.4176646392
