,hst,chnst,z
35998,266630.0,1092161.0,186463.0
35999,116347.0,395844.0,342546.0
36000,83878.0,335201.0,955372.0
36001,100519.0,304556.0,2340762.0
36002,153265.0,314874.0,4936237.0
36003,186915.0,461007.0,6796557.0
36004,262311.0,599757.0,6984082.0
36005,415378.0,733142.0,8997926.0
36006,752308.0,1372480.0,9063355.0
36007,1234142.0,2473719.0,9717953.0
36008,1536166.0,3366583.0,9189044.0
36009,1795121.0,3967420.0,8209226.0
36010,2070786.0,4401917.0,8761221.0
36011,2142443.0,4407523.0,10223247.0
36012,2340501.0,5000571.0,14740366.0
36013,2403268.0,5225028.0,20245846.0
36014,2368130.0,5223628.0,22568627.0
36015,2335112.0,5134851.0,18530318.0
36016,2474510.0,6079059.0,9964200.0
36017,2048337.0,6035711.0,3939641.0
36018,2520178.0,7127680.0,1371930.0
36019,2805041.0,9336467.0,519072.0
36020,2280951.0,7854533.0,283004.0
36021,952421.0,3602238.0,196629.0
36022,228816.0,921594.0,272072.0
36023,72375.0,343011.0,551645.0
36024,48654.0,227130.0,1683467.0
36025,73772.0,202390.0,4130651.0
36026,215078.0,321923.0,6716675.0
36027,250244.0,381316.0,8028653.0
36028,331933.0,520334.0,6083908.0
36029,661031.0,991288.0,8246443.0
36030,1075361.0,2198675.0,9893852.0
36031,1855643.0,3386100.0,10656009.0
36032,1879439.0,4289486.0,12770023.0
36033,1909098.0,4761566.0,8639510.0
36034,2179079.0,5776406.0,6335195.0
36035,2313554.0,5223111.0,8284994.0
36036,2491951.0,6970232.0,12195239.0
36037,2516413.0,6511792.0,15975456.0
36038,2531562.0,6758407.0,17714738.0
36039,2312164.0,5934595.0,13451503.0
36040,2055493.0,5467860.0,6747356.0
36041,2005971.0,6509884.0,2716732.0
36042,2236135.0,7687612.0,998280.0
36043,2377390.0,8339803.0,411329.0
36044,1692207.0,6830134.0,225051.0
36045,611502.0,2508054.0,155966.0
36046,149595.0,733518.0,204473.0
36047,50254.0,282551.0,414495.0
36048,44706.0,271825.0,1374683.0
36049,81664.0,235987.0,3526122.0
36050,244391.0,369551.0,5883985.0
36051,268365.0,417005.0,6970950.0
36052,340525.0,531816.0,5653620.0
36053,534711.0,897717.0,7736886.0
